Ruangan
7602;07.00;18.00;1,5
7603;09.00;18.00;2,4
7604;07.00;18.00;3
Multimedia;13.00;18.00;1,2,3,4,5

Jadwal
IF2110;7602;07.00;12.00;4;1,2,5
IF2130;-;07.00;18.00;4;3
IF2150;7602;12.00;18.00;4;5
IF2170;7602;10.00;18.00;4;5
IF3110;7602;07.00;09.00;2;1,2,3,4,5
IF3130;-;07.00;18.00;4;3,4,5
IF3170;7602;07.00;09.00;2;1,2,3,4,5
IF3111;-;07.00;18.00;4;1,2,3,4,5
IF3333;Multimedia;13.00;15.00;2;1,2,3,4
IF3222;Multimedia;15.00;18.00;2;1,3,5
IF4511;-;07.00;12.00;2;1,3,5
IF4511;-;09.00;12.00;3;2,4
IF4512;-;10.00;18.00;3;3,4
IF4512;-;10.00;16.00;2;1,5
IF4512;-;10.00;16.00;1;2,5
IF4513;-;09.00;13.00;2;1,3,5
IF4513;-;09.00;13.00;2;2
IF4514;-;07.00;15.00;4;4,5
IF4514;-;07.00;12.00;2;1,3
